,mix,n_src,length,s1,s2,s3
0,3speakers/wav8k/min/tt/mix/050a0503_1.202_053c0107_-1.202_441c020h_0.wav,3,44920,3speakers/wav8k/min/tt/s1/050a0503_1.202_053c0107_-1.202_441c020h_0.wav,3speakers/wav8k/min/tt/s2/050a0503_1.202_053c0107_-1.202_441c020h_0.wav,3speakers/wav8k/min/tt/s3/050a0503_1.202_053c0107_-1.202_441c020h_0.wav
1,3speakers/wav8k/min/tt/mix/050a0503_1.2607_446c0203_-1.2607_22go010a_0.wav,3,31071,3speakers/wav8k/min/tt/s1/050a0503_1.2607_446c0203_-1.2607_22go010a_0.wav,3speakers/wav8k/min/tt/s2/050a0503_1.2607_446c0203_-1.2607_22go010a_0.wav,3speakers/wav8k/min/tt/s3/050a0503_1.2607_446c0203_-1.2607_22go010a_0.wav
2,3speakers/wav8k/min/tt/mix/050a0504_0.34233_447c0210_-0.34233_22ga010q_0.wav,3,44898,3speakers/wav8k/min/tt/s1/050a0504_0.34233_447c0210_-0.34233_22ga010q_0.wav,3speakers/wav8k/min/tt/s2/050a0504_0.34233_447c0210_-0.34233_22ga010q_0.wav,3speakers/wav8k/min/tt/s3/050a0504_0.34233_447c0210_-0.34233_22ga010q_0.wav
3,3speakers/wav8k/min/tt/mix/050a0504_0.71133_446c020g_-0.71133_421c020s_0.wav,3,44898,3speakers/wav8k/min/tt/s1/050a0504_0.71133_446c020g_-0.71133_421c020s_0.wav,3speakers/wav8k/min/tt/s2/050a0504_0.71133_446c020g_-0.71133_421c020s_0.wav,3speakers/wav8k/min/tt/s3/050a0504_0.71133_446c020g_-0.71133_421c020s_0.wav
4,3speakers/wav8k/min/tt/mix/050a0504_2.2121_446o0306_-2.2121_052a050b_0.wav,3,36930,3speakers/wav8k/min/tt/s1/050a0504_2.2121_446o0306_-2.2121_052a050b_0.wav,3speakers/wav8k/min/tt/s2/050a0504_2.2121_446o0306_-2.2121_052a050b_0.wav,3speakers/wav8k/min/tt/s3/050a0504_2.2121_446o0306_-2.2121_052a050b_0.wav
5,3speakers/wav8k/min/tt/mix/050a0505_0.19171_052o020t_-0.19171_441o030f_0.wav,3,47098,3speakers/wav8k/min/tt/s1/050a0505_0.19171_052o020t_-0.19171_441o030f_0.wav,3speakers/wav8k/min/tt/s2/050a0505_0.19171_052o020t_-0.19171_441o030f_0.wav,3speakers/wav8k/min/tt/s3/050a0505_0.19171_052o020t_-0.19171_441o030f_0.wav
6,3speakers/wav8k/min/tt/mix/050a0505_0.8216_22ho010j_-0.8216_445o030v_0.wav,3,42080,3speakers/wav8k/min/tt/s1/050a0505_0.8216_22ho010j_-0.8216_445o030v_0.wav,3speakers/wav8k/min/tt/s2/050a0505_0.8216_22ho010j_-0.8216_445o030v_0.wav,3speakers/wav8k/min/tt/s3/050a0505_0.8216_22ho010j_-0.8216_445o030v_0.wav
7,3speakers/wav8k/min/tt/mix/050a0505_1.5166_446c020f_-1.5166_443o030s_0.wav,3,47098,3speakers/wav8k/min/tt/s1/050a0505_1.5166_446c020f_-1.5166_443o030s_0.wav,3speakers/wav8k/min/tt/s2/050a0505_1.5166_446c020f_-1.5166_443o030s_0.wav,3speakers/wav8k/min/tt/s3/050a0505_1.5166_446c020f_-1.5166_443o030s_0.wav
8,3speakers/wav8k/min/tt/mix/050a0505_1.5673_445c0210_-1.5673_421a010n_0.wav,3,47098,3speakers/wav8k/min/tt/s1/050a0505_1.5673_445c0210_-1.5673_421a010n_0.wav,3speakers/wav8k/min/tt/s2/050a0505_1.5673_445c0210_-1.5673_421a010n_0.wav,3speakers/wav8k/min/tt/s3/050a0505_1.5673_445c0210_-1.5673_421a010n_0.wav
9,3speakers/wav8k/min/tt/mix/050a0505_1.6633_423c0211_-1.6633_051c0103_0.wav,3,30637,3speakers/wav8k/min/tt/s1/050a0505_1.6633_423c0211_-1.6633_051c0103_0.wav,3speakers/wav8k/min/tt/s2/050a0505_1.6633_423c0211_-1.6633_051c0103_0.wav,3speakers/wav8k/min/tt/s3/050a0505_1.6633_423c0211_-1.6633_051c0103_0.wav
10,3speakers/wav8k/min/tt/mix/050a0507_0.10844_420o0312_-0.10844_22hc0113_0.wav,3,19840,3speakers/wav8k/min/tt/s1/050a0507_0.10844_420o0312_-0.10844_22hc0113_0.wav,3speakers/wav8k/min/tt/s2/050a0507_0.10844_420o0312_-0.10844_22hc0113_0.wav,3speakers/wav8k/min/tt/s3/050a0507_0.10844_420o0312_-0.10844_22hc0113_0.wav
11,3speakers/wav8k/min/tt/mix/050a0507_0.42355_442o0305_-0.42355_444c0205_0.wav,3,45482,3speakers/wav8k/min/tt/s1/050a0507_0.42355_442o0305_-0.42355_444c0205_0.wav,3speakers/wav8k/min/tt/s2/050a0507_0.42355_442o0305_-0.42355_444c0205_0.wav,3speakers/wav8k/min/tt/s3/050a0507_0.42355_442o0305_-0.42355_444c0205_0.wav
