,mix,n_src,length,s1,s2,s3,s4
0,,2,44891,,,,
1,,2,39956,,,,
2,,2,39956,,,,
3,,2,46326,,,,
4,,2,46326,,,,
5,,2,44019,,,,
6,,2,30929,,,,
7,,2,44121,,,,
8,,2,27659,,,,
9,,2,51026,,,,
10,,2,51026,,,,
11,,2,38880,,,,
12,,2,44320,,,,
13,,2,49985,,,,
14,,2,38838,,,,
15,,2,38838,,,,
16,,2,40901,,,,
17,,2,40901,,,,
18,,2,40901,,,,
19,,2,67017,,,,
20,,2,51845,,,,
21,,2,27643,,,,
22,,2,41440,,,,
23,,2,82517,,,,
24,,2,58193,,,,
25,,2,30240,,,,
26,,2,45177,,,,
27,,2,48803,,,,
28,,2,63478,,,,
29,,2,63478,,,,
30,,2,53980,,,,
31,,2,50109,,,,
32,,2,38560,,,,
33,,2,38206,,,,
34,,2,55554,,,,
35,,2,64048,,,,
36,,2,41376,,,,
37,,2,30160,,,,
38,,2,40536,,,,
39,,2,77298,,,,
40,,2,88189,,,,
41,,2,97956,,,,
42,,2,38400,,,,
43,,2,79642,,,,
44,,2,54560,,,,
45,,2,41955,,,,
46,,2,56361,,,,
47,,2,17264,,,,
48,,2,56085,,,,
49,,2,44000,,,,
50,,2,49120,,,,
51,,2,104480,,,,
52,,2,41385,,,,
53,,2,34157,,,,
54,,2,35073,,,,
55,,2,39059,,,,
56,,2,42327,,,,
57,,2,39057,,,,
58,,2,42199,,,,
59,,2,25314,,,,
60,,2,24645,,,,
61,,2,36960,,,,
62,,2,45715,,,,
63,,2,44223,,,,
64,,2,36843,,,,
65,,2,31500,,,,
66,,2,45626,,,,
67,,2,41580,,,,
68,,2,49763,,,,
69,,2,29120,,,,
70,,2,49763,,,,
71,,2,38314,,,,
72,,2,38920,,,,
73,,2,42925,,,,
74,,2,22270,,,,
75,,2,44891,,,,
76,,2,52693,,,,
77,,2,54748,,,,
78,,2,79160,,,,
79,,2,30954,,,,
80,,2,33760,,,,
81,,2,39770,,,,
82,,2,47861,,,,
83,,2,27790,,,,
84,,2,25766,,,,
85,,2,41457,,,,
86,,2,41457,,,,
87,,2,27426,,,,
88,,2,48710,,,,
89,,2,24107,,,,
90,,2,24107,,,,
91,,2,56000,,,,
92,,2,31575,,,,
93,,2,31575,,,,
94,,2,37661,,,,
95,,2,46200,,,,
96,,2,43200,,,,
97,,2,48106,,,,
98,,2,42240,,,,
99,,2,42240,,,,
100,,2,42240,,,,
101,,2,60341,,,,
102,,2,60072,,,,
103,,2,49985,,,,
104,,2,40985,,,,
105,,2,47248,,,,
106,,2,45440,,,,
107,,2,43017,,,,
108,,2,50265,,,,
109,,2,52077,,,,
110,,2,38653,,,,
111,,2,38653,,,,
112,,2,44086,,,,
113,,2,49050,,,,
114,,2,40160,,,,
115,,2,47805,,,,
116,,2,29533,,,,
117,,2,33078,,,,
118,,2,41440,,,,
119,,2,40175,,,,
120,,2,37053,,,,
121,,2,50224,,,,
122,,2,47360,,,,
123,,2,46256,,,,
124,,2,40160,,,,
125,,2,58594,,,,
126,,2,58594,,,,
127,,2,29546,,,,
128,,2,46027,,,,
129,,2,46560,,,,
130,,2,45709,,,,
131,,2,44282,,,,
132,,2,45709,,,,
133,,2,37902,,,,
134,,2,37902,,,,
135,,2,37902,,,,
136,,2,55840,,,,
137,,2,28321,,,,
138,,2,31040,,,,
139,,2,71332,,,,
140,,2,44827,,,,
141,,2,55773,,,,
142,,2,23887,,,,
143,,2,72892,,,,
144,,2,46222,,,,
145,,2,61071,,,,
146,,2,35676,,,,
147,,2,29667,,,,
148,,2,22869,,,,
149,,2,22869,,,,
150,,2,31216,,,,
151,,2,40934,,,,
152,,2,32667,,,,
153,,2,34479,,,,
154,,2,33257,,,,
155,,2,37192,,,,
156,,2,34578,,,,
157,,2,34578,,,,
158,,2,31840,,,,
159,,2,35013,,,,
160,,2,35013,,,,
161,,2,42059,,,,
162,,2,42059,,,,
163,,2,37108,,,,
164,,2,36843,,,,
165,,2,39139,,,,
166,,2,39924,,,,
167,,2,37744,,,,
